frame velocity-addSource velocity-diffuse velocity-project1 velocity-advect velocity-project2 density-addSource density-diffuse density-advect 
0.0 0.017856 1.317504 0.520224 0.079424 0.519008 0.005056 0.437344 0.023424 
1e-06 0.014304 1.318208 0.524928 0.068288 0.52544 0.004768 0.435808 0.023136 
2e-06 0.014432 1.323168 0.519712 0.068352 0.52464 0.0048 0.442592 0.023104 
3e-06 0.014432 1.313344 0.521344 0.068288 0.526304 0.004832 0.440736 0.023104 
4e-06 0.014304 1.31472 0.518592 0.068256 0.519392 0.004768 0.448256 0.02304 
5e-06 0.014336 1.313024 0.519328 0.068256 0.52432 0.004768 0.447968 0.022976 
6e-06 0.0144 1.320928 0.519648 0.068416 0.529184 0.004832 0.435808 0.023008 
7e-06 0.014496 1.321344 0.526208 0.068128 0.526304 0.004864 0.439776 0.023168 
8e-06 0.014432 1.307008 0.51888 0.068448 0.525952 0.004736 0.442656 0.0232 
9e-06 0.014528 1.317632 0.52128 0.06832 0.524352 0.004864 0.435488 0.023264 
1e-05 0.014368 1.324192 0.523008 0.068512 0.518688 0.004768 0.442336 0.023072 
1.1e-05 0.014432 1.316896 0.518816 0.06816 0.5224 0.004768 0.435904 0.022976 
1.2e-05 0.014432 1.307936 0.520448 0.075264 0.5184 0.004832 0.441504 0.023136 
1.3e-05 0.014368 1.316544 0.518592 0.068448 0.521568 0.0048 0.447328 0.023104 
1.4e-05 0.014432 1.312736 0.533792 0.068416 0.523456 0.004768 0.436224 0.023168 
1.5e-05 0.014496 1.315168 0.524736 0.068032 0.518912 0.004832 0.439264 0.023104 
1.6e-05 0.0144 1.317408 0.525632 0.068352 0.519072 0.004832 0.440224 0.023168 
1.7e-05 0.014496 1.322816 0.51904 0.068224 0.5264 0.0048 0.435968 0.023264 
1.8e-05 0.0144 1.311456 0.522048 0.068352 0.522464 0.004768 0.437344 0.023104 
1.9e-05 0.014336 1.314752 0.524192 0.068288 0.519264 0.004864 0.436928 0.023072 
2e-05 0.014336 1.318304 0.524128 0.068288 0.51936 0.004768 0.439968 0.023008 
2.1e-05 0.014304 1.314624 0.525728 0.068224 0.518432 0.004832 0.437952 0.023104 
2.2e-05 0.014496 1.324736 0.518528 0.068512 0.524064 0.0048 0.442624 0.023104 
2.3e-05 0.0256 1.368704 0.53968 0.070912 0.543744 0.005248 0.454304 0.024352 
2.4e-05 0.014848 1.35936 0.545152 0.070912 0.539264 0.004896 0.456416 0.024 
2.5e-05 0.014816 1.359488 0.559104 0.070848 0.545632 0.00496 0.453056 0.023968 
2.6e-05 0.01488 1.361952 0.539168 0.070944 0.546176 0.004928 0.453504 0.023968 
2.7e-05 0.01472 1.362496 0.54736 0.070816 0.539744 0.004896 0.453632 0.024096 
2.8e-05 0.015072 1.37792 0.542016 0.070784 0.539904 0.004992 0.453632 0.024064 
2.9e-05 0.014912 1.370304 0.544064 0.07088 0.539872 0.005024 0.453568 0.024 
3e-05 0.014944 1.359616 0.541504 0.077504 0.540032 0.004896 0.453696 0.023968 
3.1e-05 0.01472 1.358816 0.539712 0.070752 0.53952 0.004896 0.460768 0.024 
3.2e-05 0.01488 1.364576 0.543712 0.071072 0.539264 0.00496 0.4616 0.023936 
3.3e-05 0.014976 1.369824 0.538496 0.072448 0.539872 0.004864 0.464128 0.024064 
3.4e-05 0.014912 1.368896 0.545504 0.070912 0.539168 0.005024 0.453024 0.024096 
3.5e-05 0.014944 1.364416 0.538944 0.07104 0.546656 0.004928 0.459456 0.024032 
3.6e-05 0.01488 1.368352 0.543904 0.071168 0.539776 0.00496 0.453472 0.024 
3.7e-05 0.014816 1.372128 0.544448 0.07088 0.544512 0.005024 0.453888 0.024032 
3.8e-05 0.014816 1.368384 0.54832 0.070688 0.542016 0.00496 0.454048 0.024064 
3.9e-05 0.014944 1.37024 0.550784 0.070816 0.544768 0.004896 0.454112 0.024032 
4e-05 0.014784 1.375328 0.543968 0.070816 0.53936 0.004928 0.465408 0.023872 
4.1e-05 0.01488 1.358624 0.541856 0.070912 0.540992 0.00496 0.452864 0.023968 
4.2e-05 0.01488 1.36992 0.53888 0.070816 0.543168 0.004896 0.4536 0.023936 
4.3e-05 0.014848 1.382688 0.542336 0.070976 0.539456 0.004928 0.45408 0.023968 
4.4e-05 0.014976 1.372576 0.538944 0.070816 0.551968 0.00496 0.46208 0.024128 
4.5e-05 0.014912 1.376064 0.549024 0.070816 0.542624 0.00496 0.453248 0.030976 
4.6e-05 0.01952 1.411072 0.569952 0.073824 0.565952 0.00464 0.482848 0.024992 
4.7e-05 0.014272 1.416192 0.565536 0.073792 0.559072 0.004672 0.473504 0.024832 
4.8e-05 0.01424 1.414496 0.575584 0.07392 0.55968 0.004672 0.47376 0.02496 
4.9e-05 0.013984 1.419296 0.563936 0.073728 0.566272 0.004672 0.481536 0.0248 
5e-05 0.01424 1.429312 0.563712 0.073632 0.561504 0.004672 0.478208 0.024896 
5.1e-05 0.01408 1.422752 0.56336 0.073888 0.559296 0.004672 0.481344 0.024864 
5.2e-05 0.014304 1.425632 0.568768 0.073696 0.559616 0.004704 0.480032 0.024864 
5.3e-05 0.014144 1.411136 0.563968 0.08048 0.55968 0.004672 0.477824 0.0248 
5.4e-05 0.014272 1.4144 0.5696 0.073728 0.55968 0.004672 0.48096 0.024896 
5.5e-05 0.014048 1.417632 0.563168 0.079424 0.559424 0.004704 0.474464 0.02496 
5.6e-05 0.014112 1.41648 0.568896 0.07392 0.562016 0.004704 0.479968 0.024992 
5.7e-05 0.01408 1.414624 0.570624 0.078208 0.559072 0.004672 0.473888 0.024864 
5.8e-05 0.014048 1.420768 0.571808 0.07376 0.574656 0.010528 0.47952 0.027296 
5.9e-05 0.014048 1.419808 0.564096 0.073824 0.563968 0.004672 0.474048 0.024928 
6e-05 0.014208 1.420352 0.567552 0.073824 0.565312 0.004736 0.473856 0.0288 
6.1e-05 0.014048 1.428608 0.5672 0.073888 0.5648 0.004704 0.474016 0.024896 
6.2e-05 0.014208 1.411712 0.573184 0.073952 0.560064 0.00464 0.474176 0.02496 
6.3e-05 0.019808 1.420416 0.566528 0.0736 0.55952 0.004736 0.48112 0.024864 
6.4e-05 0.019616 1.422272 0.563936 0.073824 0.55984 0.004704 0.479392 0.02496 
6.5e-05 0.014048 1.422208 0.57424 0.073792 0.56272 0.004672 0.473728 0.029504 
6.6e-05 0.014112 1.427712 0.564 0.07376 0.5584 0.004704 0.48048 0.024832 
